猪小妖烧烤武道汇,美兰区海甸海达路海甸派出所边上（导航可到）,5,69,192183939
三顾冒菜（五指山路店）,美兰区五指山路5号松涛大厦一楼（松涛宾馆旁）,4.4,39,6118854
川妹火锅（南亚广场店）,美兰区海府路南亚广场旁鸿达大厦3楼,4.4,36,4195001
定安牛记美食园,美兰区海甸岛一东路42号原新安村美康庙西侧房屋,4.6,60,193827303
华莱士（五西路店）,美兰区海甸五西路南国超市一楼B档2号铺,3.9,12,6172733
华莱士（和平南路店NO27）,美兰区和平南路24-2号（农业银行旁边）,3.3,14,5389867
宽板凳老灶火锅,美兰区五西路30号（南国超市楼下）,3.6,77,180061379
咖啡时间西餐厅（名门店）,美兰区蓝天路名门广场5楼（近五指山路）,3.8,41,2387730
SOFTSTONE软石（名门店）,美兰区蓝天路名门广场北区1、2楼（正门入口处右侧）,3.4,25,2429667
万州烤鱼川湘菜（亿圣和店）,美兰区海秀东路20号（亿圣和2楼，肯德基楼上）,3.4,40,177811712
新疆伏拉沃餐厅,美兰区白龙南路59号海瀛大厦2楼,3.7,46,41368547
杨铭宇黄焖鸡米饭,美兰区海甸岛五西路海大北门对面南国超市后门20米（安民路2-4）,4.2,14,5636861
陇佑玉泉烤全羊·民俗文化美食集（五西路店）,美兰区海甸五西路恒福居商业广场广泰楼三楼（海南大学北门对面）,3.5,60,192879056
杨铭宇黄焖鸡米饭,美兰区海甸三西路16号,3.9,14,40152782
京尚道韩式美食屋,美兰区海甸三西路海大南门商业街9号,3.8,15,50007027
